GENEID	R1_H1975.bam	R2_H1975.bam	R3_H1975.bam	R1_HCC827.bam	R2_HCC827.bam	R3_HCC827.bam
ENSG00000235091	2	6	3	2	2	3
ENSG00000235092	24	14	11	31	16	11
ENSG00000235096	0	0	1	0	0	0
ENSG00000235097	1	0	1	0	0	0
ENSG00000235098	102.99999	109	110	8	3	5
ENSG00000235100	27	24	35.99999	17	5	14
ENSG00000235105	1	0	0	0	0	1
ENSG00000235106	253	270	243	297	227	213
ENSG00000235109	292.99999	239	266	54	16	51
ENSG00000235119	0	7	1	1	0	1
ENSG00000235120	0	0	1	0	0	0
ENSG00000235121	1	0	0	0	0	0
ENSG00000235126	33	20	40	0	0	1
ENSG00000235127	0	2	0	0	0	0
ENSG00000235137	0	0	1	0	0	0
ENSG00000235139	0	0	0	0	1	0
ENSG00000235140	1	0	0	0	0	0
ENSG00000235142	8	0	5	15	9	6
ENSG00000235146	3	5	1	2	0	2
ENSG00000235151	0	0	3	0	0	1
ENSG00000235159	11	9	15	5	1	2
ENSG00000235162	289.00001	338.99999	253	484	308	415.00001
ENSG00000235165	1	0	0	0	0	0
ENSG00000235169	6	7	6	40	56	28
ENSG00000235172	4.99999	6	5	0	1	0
ENSG00000235173	80	68	113	199	232	178
ENSG00000235174	42359	38928	43234	81530	78504	67703
ENSG00000235175	1	1	1	1	0	2
ENSG00000235180	34	22	23	1	0	0
ENSG00000235183	0	2	1	0	1	0
ENSG00000235185	1	0	0	0	1	0
ENSG00000235189	2	1	2	4	1	2
ENSG00000235191	0	1	1	0	0	0
ENSG00000235192	29	21	29	10	2	17
ENSG00000235194	46	43.99999	47	80	28	48
ENSG00000235200	3	1	3	2	6	2
ENSG00000235204	2	2	0	5	1	1
ENSG00000235208	0	0	0	0	0	1
ENSG00000235211	0	0	1	3	1	2
ENSG00000235213	2	1	0	0	0	0
ENSG00000235214	21.00001	16	18.99999	10	5	9.00001
ENSG00000235235	1	0	0	0	0	0
ENSG00000235236	9	4	14	6	5	1
ENSG00000235237	87	62	68	2	1	1
ENSG00000235238	1	4	0	0	1	0
ENSG00000235241	2	2	1	2	2	0
ENSG00000235244	54.00001	41.99999	38	62	45	42.99999
ENSG00000235246	1	0	0	0	0	0
ENSG00000235253	0	2	0	2	3	0
ENSG00000235254	11	7	1	1	0	1
ENSG00000235256	0	0	0	0	3	0
ENSG00000235257	97.00001	94.00001	70	3	4	8
ENSG00000235262	0	0	2	3	4	0
ENSG00000235267	0	0	2	0	3	1
ENSG00000235269	0	0	0	2	0	1
ENSG00000235272	43	29	36	18	20	16
ENSG00000235275	4	5	5	22	41	26
ENSG00000235277	1174	919	1141	15	11	20
ENSG00000235280	7	13	16	4	6	2
ENSG00000235281	1	0	0	0	0	0
ENSG00000235282	41	37	36	0	0	0
ENSG00000235288	2	4	1	0	0	1
ENSG00000235295	0	1	2	2	0	0
ENSG00000235296	0	1	0	0	0	0
ENSG00000235297	12	5	13	38	40	14
ENSG00000235298	3	0	1	0	1	0
ENSG00000235299	3	2	0	2	1	0
ENSG00000235300	1	1	2	0	1	3
ENSG00000235303	2	1	2	0	0	0
ENSG00000235313	33	1	7	39	109	12
ENSG00000235314	40	18	34	23	35	10.00001
ENSG00000235316	0	0	1	0	0	0
ENSG00000235319	0	2	5	4	1	0
ENSG00000235325	1	0	0	0	0	0
ENSG00000235332	1	0	0	1	2	0
ENSG00000235335	0	1	2	0	0	0
ENSG00000235338	2	2	0	0	0	0
ENSG00000235349	0	0	1	0	0	0
ENSG00000235354	0	2	3	5	2	3
ENSG00000235358	4	3	1.99996	2.99996	0	0
ENSG00000235363	11	15	14	6	9	7
ENSG00000235378	2	0	0	0	0	0
ENSG00000235381	1	0	3	6	0	2
ENSG00000235385	102	127	130	6	1	2
ENSG00000235386	20	9	19	0	1	0
ENSG00000235387	11	3	5	5	2	0
ENSG00000235397	2	0	1	1	1	0
ENSG00000235400	3	2	4	0	0	2
ENSG00000235410	4	3	2	2	1	0
ENSG00000235411	0	0	1	0	0	0
ENSG00000235415	1	0	2	0	1	2.00001
ENSG00000235419	23	28	24	1	1	3
ENSG00000235434	0	0	0	0	0	1
ENSG00000235437	693.00001	648.99999	658.99999	618	468	434.00001
ENSG00000235444	1	1	1	8	12	3
ENSG00000235448	216	123	180	128	59	69
ENSG00000235449	1	7	7	5	2	8
ENSG00000235453	722	611.00001	720	1321	804.00001	990.99999
ENSG00000235459	3	3	8	8	5	3
ENSG00000235470	0	0	0	2	0	3
ENSG00000235472	0	0	0	0	2	1
ENSG00000235478	2	0	2	1	0	1
ENSG00000235480	1	1	0	1	3	0
ENSG00000235481	13	21	18	1	2	4
ENSG00000235488	3	2	0	1	2	0
ENSG00000235489	1	0	1	1	0	0
ENSG00000235494	0	0	0	2	0	0
ENSG00000235495	2	0	1	0	0	0
ENSG00000235497	9	2	6	6	4	1
ENSG00000235501	33	41.00001	31	9	11	13
ENSG00000235508	48	27	29	80	99	54
ENSG00000235513	5	1.99999	4	2	1	0
ENSG00000235522	25	1	1	1	0	0
ENSG00000235527	28	17	28	11	6	7
ENSG00000235529	3	0	2	21	23	16
ENSG00000235530	27.99999	40.99999	34	21	12	9
ENSG00000235531	62	59	62	0	0	0
ENSG00000235532	0	0	0	1	0	0
ENSG00000235538	0	0	0	0	2	0
ENSG00000235545	6	5	5	0	2	2
ENSG00000235546	0	1	1	0	0	0
ENSG00000235547	0	1	1	0	0	0
ENSG00000235548	0	0	0	1	0	0
ENSG00000235552	88	52	76	129	453	69
ENSG00000235554	1	2	0	0	0	0
ENSG00000235559	5	7	4	6	8	4
ENSG00000235560	198	149	146	116.99999	60	58.99999
ENSG00000235563	0	1	0	2	0	1
ENSG00000235568	3	2	1	2	0	0
ENSG00000235573	0	2	0	0	0	0
ENSG00000235574	0	0	0	0	1	0
ENSG00000235579	3	0	0	0	0	0
ENSG00000235584	5	5	12.00001	3	5	3
ENSG00000235586	0	0	1	0	0	0
ENSG00000235587	4	1	1	8	13	11
ENSG00000235594	1	0	0	0	0	0
ENSG00000235595	1	0	0	1	3	3
ENSG00000235601	2	1	0	2	0	2
ENSG00000235602	1	0	0	0	0	0
ENSG00000235605	28	21	21	23	25	23
ENSG00000235613	22	11	13	7	8	3
ENSG00000235623	5	1	3	0	0	0
ENSG00000235626	0	0	2	1	2	0
ENSG00000235629	16	275	295	11	20	19
ENSG00000235636	1	0	0	0	0	0
ENSG00000235641	2	3	2	1	0	0
ENSG00000235643	3	2	3	5	0	2
ENSG00000235644	0	0	0	1	0	0
ENSG00000235651	1	0	0	0	0	0
ENSG00000235652	26	18	22	9	0	6
ENSG00000235655	275	100	1431	121	36	58
ENSG00000235656	0	1	0	0	0	0
ENSG00000235659	2	1	2	7	2.99999	6
ENSG00000235660	0	1	0	0	0	0
ENSG00000235661	10	0	12	9	8	7
ENSG00000235663	14	9	23	16	1	5
ENSG00000235670	0	0	0	0	1	1
ENSG00000235672	1	0	1	1	0	0
ENSG00000235679	0	0	0	1	0	0
ENSG00000235681	0	0	0	0	1	0
ENSG00000235685	0	0	0	1	0	0
ENSG00000235698	1	5	2	1	7	0
ENSG00000235699	1	0	1	2	0	0
ENSG00000235700	1	0	0	0	0	1
ENSG00000235703	2	1	1	6	11	1
ENSG00000235706	297.00003	295.99999	312.99999	221.99998	190	173
ENSG00000235707	0	1	0	0	0	0
ENSG00000235720	0	0	0	0	1	0
ENSG00000235721	1	0	4	0	1	0
ENSG00000235724	4.00001	2	2	2	2	7
ENSG00000235725	1	2	5	12	5	3
ENSG00000235726	37.00001	22	27.00001	43	53.99999	47.00001
ENSG00000235734	32	35	30	18	9	18
ENSG00000235741	0	2	0	0	0	0
ENSG00000235750	94	61.00001	81	66.99999	95	72
ENSG00000235770	7	3	1.00002	1	1	0
ENSG00000235776	12	9	12	46	37	18
ENSG00000235777	0	0	0	1	0	0
ENSG00000235781	26	18	16	2	2	4
ENSG00000235782	1	0	0	0	1	0
ENSG00000235787	6	9	6	19	8	9
ENSG00000235790	7	8	12	2.99999	4	2
ENSG00000235802	0	0	1	0	0	0
ENSG00000235811	0	1	0	0	0	0
ENSG00000235813	0	2	0	0	8	3
ENSG00000235819	0	0	0	0.99999	0	0
ENSG00000235823	2339	1784.99998	2000	1301	946.99999	1298.00003
ENSG00000235830	9	7	11	2	2	4
ENSG00000235831	20	18	19	47	28	21
ENSG00000235834	0	2	1	0	0	0
ENSG00000235837	5	4	3	0	0	1
ENSG00000235840	1	1	1	0.99999	0	2
ENSG00000235843	1	0	0	0	0	0
ENSG00000235848	2	0	1.99998	5	0	3
ENSG00000235859	16	9	25	20	20	7
ENSG00000235863	19	11	20	65	94	43
ENSG00000235865	3	4	2	2	0	1
ENSG00000235872	1	0	7	10	2	0
ENSG00000235881	1	0	1	0	0	0
ENSG00000235885	10	1	6	1	0	2
ENSG00000235888	2	3	0	0.99999	0	0
ENSG00000235890	148	112	98.00001	0	0	1
ENSG00000235892	0	1	0	0	0	1
ENSG00000235893	2	2	1	0	0	0
ENSG00000235897	26	70	25	42	40	31
ENSG00000235899	10	4	4	1	5	7.99999
ENSG00000235903	3	1	3	7	2	2
ENSG00000235904	58	51.99999	47	17	19	13
ENSG00000235908	0	0	1	8	0	1
ENSG00000235910	3	0	2	0	0	0
ENSG00000235912	1	2	0	0	0	1
ENSG00000235914	0	0	0	0	0	1
ENSG00000235916	0	0	2	1	0	0
ENSG00000235919	134	143	131	133	102	93
ENSG00000235920	1	0	1	0	0	0
ENSG00000235926	0	0	1	0	4	0
ENSG00000235927	11	19	8	10	11	4
ENSG00000235932	2	0	0	0	0	0
ENSG00000235939	23	21	15	3	6	5
ENSG00000235944	0	0	1	1	0	0
ENSG00000235945	0	0	0	1	2	0
ENSG00000235947	0	0	0	0	0	1
ENSG00000235954	344.00003	308.00001	249.99999	86.00001	77.99999	81.00001
ENSG00000235958	14	1	11	3	1	1
ENSG00000235959	0	1	0	0	0	0
ENSG00000235961	0	0	0	9	3	1
ENSG00000235962	0	1	0	0	0	0
ENSG00000235974	9	7	3	0	0	0
ENSG00000235978	135.00001	123	160	46	41	29
ENSG00000235979	1	0	0	0	1	0
ENSG00000235989	1	3	4	6	3	2
ENSG00000235992	0	0	3	0	0	0
ENSG00000235998	0	0	0	0	0	1
ENSG00000236017	2	0	6	1	2	2
ENSG00000236021	11	10	14	12	10	8
ENSG00000236022	306	234	263.99999	71	30	39
ENSG00000236024	0	0	0	0	3	0
ENSG00000236028	4	3	2	0	0	0
ENSG00000236035	0	0	0	0	1	0
ENSG00000236039	5.99998	4	8	141.99999	59	137
ENSG00000236046	1	1	1	0	0	0
ENSG00000236047	6	0	0	0	1	0
ENSG00000236051	4	1	6	0	2	2
ENSG00000236052	5	3	3.00002	0	0	0
ENSG00000236056	1	0	0	0	0	0
ENSG00000236058	1	0	2	3	6	1
ENSG00000236060	348	226	360	446	1693	299
ENSG00000236064	6	6	4	19	9	18
ENSG00000236065	1	0	3	3	1	1
ENSG00000236073	1	0	0	0	1	0
ENSG00000236078	7	9	14	2	5	4
ENSG00000236081	315	344	359	646	406	487.00001
ENSG00000236085	0	0	0	1	0	0
ENSG00000236088	177	176	148.00003	112	38	67
ENSG00000236090	1	0	0	0	0	0
ENSG00000236091	28	31	33	38	28	15
ENSG00000236095	0	2	0	1	2	3
ENSG00000236097	4	2	1	0	0	0
ENSG00000236098	97	71	69	18	10	11
ENSG00000236104	35	25	32	46	52	30
ENSG00000236107	25	29	10	0	1	2
ENSG00000236108	0	0	1	0	0	0
ENSG00000236111	5	3	1	3	2	2
ENSG00000236115	0	1	0	0	0	1
ENSG00000236120	0	1	0	0	0	1
ENSG00000236121	0	0	0	0	0	1
ENSG00000236123	4	0	3	0	0	0
ENSG00000236126	0	0	1	0	0	0
ENSG00000236130	8	7	5	7	10	7
ENSG00000236137	25.99999	13	24	25.99999	19	24
ENSG00000236140	12	6	10	10	0.99999	4
ENSG00000236141	0	0	1	0	0	0
ENSG00000236144	46	50.00001	43	24	11.00001	14.99999
ENSG00000236146	4	1	0	0	0	0
ENSG00000236148	1	0	1	0	0	0
ENSG00000236151	1	0	0	0	0	0
ENSG00000236152	0	3	2	1	2	0
ENSG00000236153	6	3	2	0	0	0
ENSG00000236154	0	0	1	0	0	0
ENSG00000236159	1	0	1	0	0	0
ENSG00000236165	1	0	3	6	0	1
ENSG00000236173	2	3	2	0	0	0
ENSG00000236189	2	0	0	2	0	0
ENSG00000236194	0	0	1	0	0	0
ENSG00000236197	1	0	0	2	1	0
ENSG00000236200	48	41	38	44.99999	24	22.99999
ENSG00000236204	339	272	347	64	35	60.99999
ENSG00000236206	1	3	2	8	6	5
ENSG00000236209	6	1	0	1	0	4
ENSG00000236212	57	53	54	13	6	5
ENSG00000236213	61.99999	50.00003	31.00002	7	3.00002	3
ENSG00000236226	0	2	3	0	1	1
ENSG00000236229	1	0	0	0	0	0
ENSG00000236234	0	0	0	0	0	2
ENSG00000236235	4	6	1	0	0	0
ENSG00000236238	0	1	0	0	0	0
ENSG00000236241	0	0	0	0	1	0
ENSG00000236242	6	2	3	0	4	2
ENSG00000236248	0	1	0	0	0	0
ENSG00000236255	18	6	10	15	22	7
ENSG00000236256	36	28.00001	34	27	13.00001	26
ENSG00000236264	0	1	0	0	0	0
ENSG00000236268	2	2	0	1	0	1
ENSG00000236276	0	0	0	1	0	0
ENSG00000236277	0	0	0	1	0	0
ENSG00000236279	0	0	0	0	1	0
ENSG00000236281	0	0	0	0	1	0
ENSG00000236283	6	14	10	0	0	0
ENSG00000236287	65.00001	38	45	22.00001	10	6
ENSG00000236299	0	0	0	0	2	0
ENSG00000236301	2	0	0	0	0	0
ENSG00000236303	16	24	12	1	1.00002	1
ENSG00000236305	98.99999	92	97	125.00001	93.00001	105
ENSG00000236307	0	0	0	2	0	1
ENSG00000236308	0	0	1	1	3	1
ENSG00000236311	1	0	0	0	0	0
ENSG00000236312	2	0	1	1	0	0
ENSG00000236318	5	1	9	3	1	2
ENSG00000236320	1	0	0	0	0	0
ENSG00000236325	1	0	0	0	1	0
ENSG00000236330	0	0	1	0	3	1
ENSG00000236333	0	0	0	1	1	0
ENSG00000236337	0	1	0	7	7	0
ENSG00000236345	2	5	9	3	0	1
ENSG00000236347	6	7	7	1	0	0
ENSG00000236348	1	0	0	0	0	1
ENSG00000236349	4	2	0	0	1	2
ENSG00000236352	10	6	14	1	2	3
ENSG00000236354	0	0	0	5	2	2
ENSG00000236358	16	8	15	1	2	4
ENSG00000236360	0	0	0	0	0	1
ENSG00000236362	0	0	2	0	0	0
ENSG00000236364	0	2	0	0	10	0
ENSG00000236366	9	2	5	2	8	0
ENSG00000236375	6	0	0	0	0	0
ENSG00000236377	23	16	29	2	3	1
ENSG00000236380	1	0	0	0	0	0
ENSG00000236383	8	6	9.00001	23	27	9
ENSG00000236384	1	0	0	0	0	0
ENSG00000236385	0	1	3	0	2	0
ENSG00000236388	0	1	0	0	0	0
ENSG00000236393	1	0	0	0	0	0
ENSG00000236396	0	0	0	0	1	0
ENSG00000236404	4	11	6	13	9	17
ENSG00000236423	4	2	1	3	4	4
ENSG00000236427	27	19	23	0	0	0
ENSG00000236431	11	8	11	12	18	5
ENSG00000236432	13	14	9	10	6	5.99999
ENSG00000236434	0	0	0	2	0	0
ENSG00000236439	2669	2129	2279	3399	1838	2117
ENSG00000236444	4	19	8	12	9	2
ENSG00000236447	1	2	0	0	0	1
ENSG00000236449	1	0	1	0	0	0
ENSG00000236456	10	6	5	17	7	2
ENSG00000236463	0	0	0	0	0	1
ENSG00000236464	0	0	1	0	0	0
ENSG00000236467	0	2	0	0	0	0
ENSG00000236469	0	0	1	0	0	0
ENSG00000236471	0	0	1	0	0	0
ENSG00000236472	0	0	0	0	1	0
ENSG00000236480	12	13	5	3	5	1
ENSG00000236481	23	8	11	0	0	0
ENSG00000236483	1	1	0	0	1	0
ENSG00000236484	1	1	1	1	3	0
ENSG00000236493	4	3	2	6	6	1
ENSG00000236495	2	1	1	0	0	4
ENSG00000236496	1	0	0	0	0	0
ENSG00000236498	0	0	0	1	0	0
ENSG00000236499	9	7	0	3	4	3
ENSG00000236500	0	0	0	0	1	0
ENSG00000236502	24	20	11	0	0	0
ENSG00000236514	13	19	16	1	0	1
ENSG00000236516	1	0	2	0	0	0
ENSG00000236519	3	5	0	2	3	0
ENSG00000236526	1	0	4	2	0	1
ENSG00000236527	1	1	1	0	0	0
ENSG00000236528	8	3	3	13	4	4
ENSG00000236529	3	5	3	0	0	2
ENSG00000236530	0	1	0	0	0	0
ENSG00000236532	0	0	0	1	0	0
ENSG00000236533	0	1	0	0	0	1
ENSG00000236534	8	2	2	12	2	1
ENSG00000236535	0	1	0	0	0	0
ENSG00000236539	0	0	0	0	2	1
ENSG00000236540	23	36	34	9	9	5
ENSG00000236544	13	9	11	0	0	0
ENSG00000236545	0	0	0	0	1	0
ENSG00000236546	1	0	0	0	1	0
ENSG00000236548	0	0	0	2	2	4
ENSG00000236549	0	1	0	0	0	0
ENSG00000236552	171	126	118	325	278	206
ENSG00000236559	3	9	2	4	0	0
ENSG00000236562	3	6	1	0	5	0
ENSG00000236564	0	0	0	0	3	0
ENSG00000236565	3	1	1	4	0	0
ENSG00000236570	4	2	1	0	0	1
ENSG00000236580	0	0	0	0	1	0
ENSG00000236591	27	27	20	4	2	2
ENSG00000236592	1	2	0	2	0	0
ENSG00000236596	0	0	0	1	0	0
ENSG00000236601	0	1	0	10	14	12
ENSG00000236603	6	4	4	6	6	8
ENSG00000236607	0	0	0	0	1	0
ENSG00000236609	36	31	41	102	56	56
ENSG00000236617	79	76	89	12	13	14
ENSG00000236618	2859	2540	2561	1174	646	921
ENSG00000236641	1	1	0	0	0	0
ENSG00000236643	35	34	49	27	28	17
ENSG00000236646	0	0	0	0	0	1
ENSG00000236651	15	12	14	2	2	10
ENSG00000236658	0	0	1	2	0	1
ENSG00000236663	130	99	103	22	9	9
ENSG00000236668	7	4	10	0	0	0
ENSG00000236670	2	0	0	2	11	0
ENSG00000236671	38	42	44.99999	8	2	2
ENSG00000236674	1	0	0	1	0	0
ENSG00000236675	1	0	1	1	0	0
ENSG00000236676	0	0	1	0	0	0
ENSG00000236680	4	2	2	4	4	1
ENSG00000236682	224.00001	231.00001	259.99998	334	273	251.99999
ENSG00000236683	0	0	0	1	0	0
ENSG00000236687	1	0	0	0	0	0
ENSG00000236698	10	2	3	0	1	2
ENSG00000236699	11	8	11	57.00001	65	33
ENSG00000236700	5.99999	6	8	2	0	0
ENSG00000236708	0	0	0	1	3	0
ENSG00000236709	0	0	0	0	0	1
ENSG00000236710	1	0	5	1	0	1
ENSG00000236719	0	0	2	0	0	0
ENSG00000236722	1	0	0	0	0	0
ENSG00000236723	2	0	0	1	2	3
ENSG00000236732	0	1	1	0	1	0
ENSG00000236735	0	0	0	1	1	1
ENSG00000236744	0	0	1	0	0	0
ENSG00000236751	199.00001	169	159	152.00001	117	91
ENSG00000236753	312.00002	294	265.99999	117	110.99999	76
ENSG00000236754	7	9	1	3	7	0
ENSG00000236756	322	276.99999	347.99998	121	83	106
ENSG00000236761	0	0	0	0	6	2
ENSG00000236762	9	2	2	11	15	5
ENSG00000236764	0	1	1	0	4	2
ENSG00000236768	0	0	0	0	1	0
ENSG00000236775	0	0	3	0	0	0
ENSG00000236778	12	11	15	29	27	48
ENSG00000236780	4	5	7.99999	3	2	0
ENSG00000236782	4	5	0	4	7	4
ENSG00000236790	3	2	3	1	0	0
ENSG00000236794	0	0	2	1	0	0
ENSG00000236795	0	0	1	0	5	1
ENSG00000236797	0	1	0	0	0	0
ENSG00000236801	109	90	68	233	216	162
ENSG00000236809	1	0	7	0	1	1
ENSG00000236810	270	243.00001	265.00001	116	69.00002	89
ENSG00000236811	3	0	2	2	4	0
ENSG00000236814	2	1	2	2	3	2
ENSG00000236819	1	0	1	0	2	0
ENSG00000236824	1151	1418	1265	743	1005	123
ENSG00000236827	7	7	8	4	0	1
ENSG00000236830	140.99998	142.99999	165	239.99999	132.00001	165.99999
ENSG00000236833	2	0	1	15	5	3
ENSG00000236838	13	11	8	5	4	3
ENSG00000236842	0	0	0	0	1	1
ENSG00000236844	4	2	5	3	4	1
ENSG00000236846	13	24	6	1	0	1
ENSG00000236849	0	0	1	0	0	0
ENSG00000236852	0	0	0	1	0	0
ENSG00000236858	0	1	0	0	0	0
ENSG00000236859	142.99999	160	117	110	73.00001	77.99999
ENSG00000236861	15	9	9	5	11	0
ENSG00000236869	46	48	31	20	15	16
ENSG00000236871	4	0	2	14	13	8
ENSG00000236876	0	0	2	0	0	0
ENSG00000236878	0	1	0	0	0	0
ENSG00000236882	3	1	1	3	3	0
ENSG00000236883	1	1	0	1	1	3
ENSG00000236889	0	1	1	0	0	0
ENSG00000236901	4	7	3	8	4	4
ENSG00000236905	1	0	0	0	2	2
ENSG00000236908	47	37.99999	45	18	12	21
ENSG00000236914	5	4	1	1	3	0
ENSG00000236915	28	27	27	2	4	3
ENSG00000236921	14	10	18	67	58	76
ENSG00000236922	2	0	0	0	0	0
ENSG00000236924	8	8	3	56	42	39.99999
ENSG00000236928	1	0	0	0	0	0
ENSG00000236935	3	7	1.99999	5	1	2
ENSG00000236936	3	0	0	0	4	0
ENSG00000236939	0	0	0	22	26	11
ENSG00000236942	0	0	0	6	1	0
ENSG00000236963	0	2.00001	1	0	0	0
ENSG00000236968	8	8	7	0	0	0
ENSG00000236969	0	0	0	96	118	52
ENSG00000236972	4	5	2	2	0	1
ENSG00000236975	2	2	3	7	6	1
ENSG00000236976	0	0	1	0	0	0
ENSG00000236977	0	0	0	7	1	0
ENSG00000236986	0	0	0	4	5	2
ENSG00000236991	2	0	0	0	0	0
ENSG00000236992	32	10	16	57	52	49
ENSG00000236993	0	0	0	0	1	0
ENSG00000237000	0	0	0	3	1	1
ENSG00000237001	0	0	0	1	0	0
ENSG00000237002	1	0	0	0	0	0
ENSG00000237004	0	1	0	1	0	1
ENSG00000237007	1	1	1	3	0	0
ENSG00000237013	3	3	3	0	0	0
ENSG00000237015	0	0	0	1	0	0
ENSG00000237017	3	3	6	2	3	1
ENSG00000237025	0	0	0	1	0	0
ENSG00000237026	2	2	0	0	0	0
ENSG00000237036	48	52	60	31	23	27
ENSG00000237037	71	73	64	27	28	25
ENSG00000237039	320	307	302	573	491	357
ENSG00000237049	0	0	0	0	1	1
ENSG00000237054	14	18	9	35	72	22
ENSG00000237057	0	0	4	1	2	0
ENSG00000237058	0	0	1.00001	0	0	0
ENSG00000237063	2	1	0	55	48	44
ENSG00000237064	0	0	0	1	0	0
ENSG00000237068	1	0	0	0	0	0
ENSG00000237074	34	28	54	8	11	10
ENSG00000237077	0	0	0	2	1	0
ENSG00000237080	1	2	1	3	5	6
ENSG00000237082	0	3	1	0	2	0
ENSG00000237087	0	0	0	1	0	0
ENSG00000237094	0	2	0	0	0	0
ENSG00000237101	7	2	1	6	0	0
ENSG00000237115	0	0	0	1	0	0
ENSG00000237119	0	4	1	0	0	0
ENSG00000237125	2	0	0	0	0	1
ENSG00000237126	5	4	8	8	5	6
ENSG00000237128	4	0	4	2	1	0
ENSG00000237135	0	0	0	1	0	0
ENSG00000237136	6	6	4	6	2	2
ENSG00000237139	0	0	0	0	0	1
ENSG00000237149	8	4	2	7	7	6
ENSG00000237153	0	2	0	0	1	1
ENSG00000237154	0	0	0	1	0	0
ENSG00000237161	0	0	0	1	0	0
ENSG00000237166	8	1	3	2	4	2
ENSG00000237167	1	1	0	0	0	0
ENSG00000237170	0	0	0	0	1	0
ENSG00000237172	76	60	40	15	8	5
ENSG00000237173	0	0	1	1	0	0
ENSG00000237174	0	0	0	2	1	0
ENSG00000237186	0	3	0	0	1	0
ENSG00000237187	356.00001	323	331.00002	93	61.99999	68.99999
ENSG00000237188	86	89	103	16	11	3
ENSG00000237190	1538	1496	1300	1545	959	1267
ENSG00000237210	0	0	0	0	2	1
ENSG00000237214	46	27	22	78	119	58
ENSG00000237222	23.99999	25	13.00001	11	14	10
ENSG00000237232	13	9	9	3	5	1
ENSG00000237248	4	3	4	8	0	2
ENSG00000237250	5	3	1	1	0	6
ENSG00000237254	21	10	12	0	0	0
ENSG00000237261	0	0	1	0	0	0
ENSG00000237264	3	29	19	0	2	13
ENSG00000237271	0	2	2	0	0	1
ENSG00000237276	0	1	3	4	1	1
ENSG00000237278	1	0	0	0	2	0
ENSG00000237279	0	0	0	1	0	1
ENSG00000237280	0	0	0	0	2	0
ENSG00000237281	0	0	0	0	7	0
ENSG00000237289	282	238	247	55	45	45
ENSG00000237292	21	13	11	4.99998	3	1
ENSG00000237296	2	0	0	0	0	1
ENSG00000237298	45.99999	39	40.00001	40	20	23.00001
ENSG00000237301	4	10	4	3	0	3
ENSG00000237307	0	1	1	0	0	1
ENSG00000237310	761	618.99999	759	165	86	107.99999
ENSG00000237311	0	2	0	0	0	0
ENSG00000237322	1	0	0	0	0	0
ENSG00000237328	0	1	0	0	0	0
ENSG00000237330	21	11	25	21	42	19
ENSG00000237331	0	0	0	7	3	1
ENSG00000237341	2	0	1	0	0	0
ENSG00000237343	6	5	10	4	4	5
ENSG00000237347	0	0	0	2	0	0
ENSG00000237350	23	15	18	11	10	5
ENSG00000237351	2	0	0	0	0	0
ENSG00000237353	0	0	0.99999	0	0	0
ENSG00000237357	189.99999	155.99998	175.99999	104.99999	46	101.99999
ENSG00000237358	1	0	0	0	0	0
ENSG00000237372	2	0	0	0	0	0
ENSG00000237373	0	0	1	0	0	0
ENSG00000237377	730	1667	1691	899	766	709
ENSG00000237380	48	57	47	6	0	1
ENSG00000237382	0	0	0	1	0	0
ENSG00000237390	0	0	0	0	0	1
ENSG00000237399	5	1	0	0	0	0
ENSG00000237401	1	0	1	0	1	1
ENSG00000237402	0	0	0	4	0	1
ENSG00000237406	1	0	0	17	3	0
ENSG00000237413	3	1	0	6	4	5
ENSG00000237415	1	0	4	0	0	0
ENSG00000237417	3	0	0	0	1	0
ENSG00000237419	0	0	1	0	0	0
ENSG00000237423	22	17	9	0	0	0
ENSG00000237424	18	10	9	84	69	48
ENSG00000237429	27	27	20	19	6	11
ENSG00000237433	1	0	0	0	0	0
ENSG00000237436	8	7	2	5	3	6
ENSG00000237438	0	0	1	0	0	0
ENSG00000237440	130	142	133	63	34	36
ENSG00000237441	314	346	322.00001	343.00001	470	286.99999
ENSG00000237446	0	0	0	0	1	0
ENSG00000237452	0	1	0	1	1	0
ENSG00000237453	0	1	0	0	0	0
ENSG00000237458	5	8	0	2	4	0
ENSG00000237463	0	0	0	1	0	0
ENSG00000237469	0	0	0	0	1	2
ENSG00000237470	0	1	0	0	0	0
ENSG00000237471	6.00001	2	0	0	0	1
ENSG00000237472	0	0	0	1	0	0
ENSG00000237476	82	56	62	23	10	10
ENSG00000237480	0	0	0	1	0	1.00002
ENSG00000237483	0	0	0	3	8	0
ENSG00000237484	0	0	0	0	1	0
ENSG00000237489	120	109	158	43	18	41
ENSG00000237491	10	9	7	4	0	4
ENSG00000237493	595	491	653	379	295	268
ENSG00000237499	34.00001	41	43.99999	68.00001	33.99999	51
ENSG00000237505	21	23	19	29	19	11
ENSG00000237506	14	4	10	16	11	6
ENSG00000237510	1	0	1	0	0	0
ENSG00000237512	73	53	41	6	3	5
ENSG00000237515	0	1	0	0	0	0
ENSG00000237520	1	0	1	4.00001	1	2
ENSG00000237522	0	8	0	3	13	0
ENSG00000237523	121.99999	150	161.99999	137	120	73
ENSG00000237525	1	0	2	0	1	1
ENSG00000237529	0	1	1	0	0	0
ENSG00000237531	1	2	2	0	0	0
ENSG00000237540	0	2	2	0	0	0
ENSG00000237541	1	0	0	0	0	0
ENSG00000237550	2	0	1	8	2	4
ENSG00000237551	0	1	0	0	0	0
ENSG00000237568	2	0	1	0	0	0
