"seqnames","qry_id","ref_id","qry_gene_id","ref_gene_id","gene_name","class_code","strand","start","end","len","num_exons","prediction","rnamining_score","exon","classification"
"9","BambuTx1000","ENST00000376730","ENSG00000187210","ENSG00000187210","GCNT1","j","+",76459213,76462770,1682,3,"non-coding",0.9999985,"multi-exonic","multiexon SJ match"
"9","BambuTx1001","ENST00000838200","ENSG00000309071","ENSG00000309071","ENSG00000309071","j","-",83919532,83921487,506,3,"non-coding",0.99996704,"multi-exonic","multiexon SJ match"
"9","BambuTx1002","ENST00000388712","ENSG00000135052","ENSG00000135052","GOLM1","j","-",86026933,86079541,2214,10,"non-coding",0.9999918,"multi-exonic","multiexon SJ match"
"9","BambuTx1003","ENST00000375835","ENSG00000148082","ENSG00000148082","SHC3","j","-",89111303,89178123,476,3,"non-coding",0.9998297,"multi-exonic","multiexon SJ match"
"9","BambuTx1004","ENST00000395477","ENSG00000165238","ENSG00000165238","WNK2","j","+",93312781,93320569,465,3,"non-coding",0.8781966,"multi-exonic","multiexon SJ match"
"9","BambuTx1006","ENST00000259455","BambuGene20570","ENSG00000136928",NA,"i","+",98488808,98490530,1074,3,"non-coding",0.9999766,"multi-exonic","intronic"
"9","BambuTx1007","ENST00000259455","BambuGene20570","ENSG00000136928",NA,"i","+",98489156,98490528,1105,2,"non-coding",0.99998105,"multi-exonic","intronic"
"9","BambuTx1008","ENST00000374762","BambuGene20994","ENSG00000165028",NA,"x","-",104750381,104764302,1343,4,"non-coding",0.9999837,"multi-exonic","antisense"
"9","BambuTx1010","ENST00000374431","ENSG00000198121","ENSG00000198121","LPAR1","j","-",110874300,111038802,2548,5,"non-coding",0.9999969,"multi-exonic","multiexon SJ match"
"9","BambuTx1011","ENST00000374279","ENSG00000148154","ENSG00000148154","UGCG","j","+",111897106,111927791,987,6,"non-coding",0.99999726,"multi-exonic","multiexon SJ match"
"9","BambuTx1012","ENST00000374232","ENSG00000148158","ENSG00000148158","SNX30","j","+",112803707,112805212,896,2,"non-coding",0.99996716,"multi-exonic","multiexon SJ match"
"9","BambuTx1013","ENST00000436752","ENSG00000230601","ENSG00000230601","TEX48","j","-",114666434,114682192,471,2,"non-coding",0.7069179,"multi-exonic","multiexon SJ match"
"9","BambuTx1014","ENST00000785114","BambuGene20636","ENSG00000302233",NA,"x","+",118809315,118980429,832,4,"non-coding",0.999992,"multi-exonic","antisense"
"9","BambuTx1015","ENST00000750211","ENSG00000297691","ENSG00000297691","ENSG00000297691","j","-",119430071,119454136,719,3,"non-coding",0.99999356,"multi-exonic","multiexon SJ match"
"9","BambuTx1016","ENST00000373549","ENSG00000173611","ENSG00000173611","SCAI","j","-",125052204,125143526,780,5,"non-coding",0.99986166,"multi-exonic","multiexon SJ match"
"9","BambuTx1017","ENST00000336505","ENSG00000173611","ENSG00000173611","SCAI","j","-",125052204,125143526,711,4,"non-coding",0.9999771,"multi-exonic","multiexon SJ match"
"9","BambuTx1018","-","BambuGene21094","-",NA,"u","-",126762413,126763503,531,2,"non-coding",0.99978757,"multi-exonic","intergenic"
"10","BambuTx102","ENST00000684815","ENSG00000274985","ENSG00000291093",NA,"i","-",29428284,29438982,641,2,"non-coding",0.9998849,"multi-exonic","intronic"
"9","BambuTx1020","ENST00000393533","BambuGene21135","ENSG00000136811",NA,"x","-",128480218,128504618,1041,3,"non-coding",0.9999938,"multi-exonic","antisense"
"9","BambuTx1021","ENST00000843717","ENSG00000309757","ENSG00000309757","ENSG00000309757","j","-",129476300,129495726,1189,2,"non-coding",0.99999946,"multi-exonic","multiexon SJ match"
"9","BambuTx1022","ENST00000372348","BambuGene21186","ENSG00000097007",NA,"i","-",130832694,130835006,724,3,"non-coding",0.9976885,"multi-exonic","intronic"
"9","BambuTx1023","ENST00000350499","ENSG00000165698","ENSG00000165698","SPACA9","j","+",132878341,132890030,702,5,"non-coding",0.997791,"multi-exonic","multiexon SJ match"
"9","BambuTx1025","ENST00000224073","ENSG00000107223","ENSG00000107223","EDF1","j","-",136849203,136866308,772,5,"non-coding",0.99955493,"multi-exonic","multiexon SJ match"
"9","BambuTx1026","ENST00000406427","BambuGene20830","ENSG00000130653",NA,"x","+",137492974,137495441,1625,2,"non-coding",0.9976597,"multi-exonic","antisense"
"10","BambuTx103","ENST00000805305","BambuGene2510","ENSG00000272381",NA,"i","-",31066560,31071385,397,2,"non-coding",0.9576049,"multi-exonic","intronic"
"X","BambuTx1035","-","BambuGene21606","-",NA,"u","-",2888676,2889715,558,2,"non-coding",0.9998824,"multi-exonic","intergenic"
"X","BambuTx1037","ENST00000707197","ENSG00000101871","ENSG00000101871","MID1","j","-",10583582,10620578,735,2,"non-coding",0.99994683,"multi-exonic","multiexon SJ match"
"X","BambuTx1038","ENST00000359276","ENSG00000047230","ENSG00000047230","CTPS2","j","-",16589549,16712687,2198,19,"non-coding",0.9999997,"multi-exonic","multiexon SJ match"
"X","BambuTx1039","ENST00000452788","ENSG00000230020","ENSG00000230020","NHS-AS1","j","-",17552349,17560170,358,3,"non-coding",0.99999815,"multi-exonic","multiexon SJ match"
"10","BambuTx104","ENST00000265371","BambuGene2188","ENSG00000099250",NA,"x","+",33330719,33334692,637,2,"non-coding",0.88407916,"multi-exonic","antisense"
"X","BambuTx1040","-","ENSG00000091482","-",NA,"u","-",21761297,21770883,1031,2,"non-coding",0.999998,"multi-exonic","intergenic"
"X","BambuTx1043","-","BambuGene21676","-",NA,"u","-",28185258,28207222,1268,2,"non-coding",0.9999951,"multi-exonic","intergenic"
"X","BambuTx1045","ENST00000791523","ENSG00000303056","ENSG00000303056","ENSG00000303056","j","-",40144529,40146640,551,2,"non-coding",0.9999976,"multi-exonic","multiexon SJ match"
"X","BambuTx1046","ENST00000661498","ENSG00000287549","ENSG00000287549","ENSG00000287549","j","-",41008427,41010658,1474,2,"non-coding",0.9999997,"multi-exonic","multiexon SJ match"
"X","BambuTx1047","ENST00000668280","BambuGene21353","ENSG00000236751",NA,"i","+",46263783,46272170,499,3,"non-coding",0.9999462,"multi-exonic","intronic"
"X","BambuTx1048","ENST00000298190","ENSG00000147121","ENSG00000147121","KRBOX4","j","+",46447270,46474201,1952,7,"non-coding",0.99999607,"multi-exonic","multiexon SJ match"
"X","BambuTx1049","ENST00000838387","ENSG00000147119","ENSG00000230844","ZNF674-AS1","j","+",46545517,46598403,848,3,"non-coding",0.9999784,"multi-exonic","multiexon SJ match"
"10","BambuTx105","ENST00000685392","ENSG00000095794","ENSG00000095794","CREM","j","+",35126942,35212461,1858,5,"non-coding",0.9996657,"multi-exonic","multiexon SJ match"
"X","BambuTx1050","ENST00000776850","ENSG00000204904","ENSG00000204904","LINC01545","j","-",46886707,46912363,1217,3,"non-coding",0.99999905,"multi-exonic","multiexon SJ match"
"X","BambuTx1051","ENST00000457380","ENSG00000130988","ENSG00000130988","RGN","j","+",47078392,47093311,1381,6,"non-coding",0.99801594,"multi-exonic","multiexon SJ match"
"X","BambuTx1053","ENST00000335972","BambuGene21712","ENSG00000130985",NA,"x","-",47204368,47218692,1302,3,"non-coding",0.9999936,"multi-exonic","antisense"
"X","BambuTx1054","ENST00000335972","BambuGene21712","ENSG00000130985",NA,"x","-",47204834,47218680,942,4,"non-coding",0.9999278,"multi-exonic","antisense"
"X","BambuTx1055","ENST00000651462","ENSG00000286181","ENSG00000286181","FLICR","j","-",49264433,49269641,1987,2,"non-coding",0.99999815,"multi-exonic","multiexon SJ match"
"X","BambuTx1056","ENST00000652102","ENSG00000049769","ENSG00000049769","PPP1R3F","j","+",49270535,49301465,753,5,"non-coding",0.9996391,"multi-exonic","multiexon SJ match"
"X","BambuTx1057","-","BambuGene21419","-",NA,"u","+",65894423,65896126,1017,2,"non-coding",0.9998663,"multi-exonic","intergenic"
"X","BambuTx1058","ENST00000788147","ENSG00000284391","ENSG00000284391","ENSG00000284391","j","-",70396509,70434481,1855,3,"non-coding",0.99991155,"multi-exonic","multiexon SJ match"
"X","BambuTx1059","-","BambuGene21815","-",NA,"u","-",71644349,71645858,853,2,"non-coding",0.9999766,"multi-exonic","intergenic"
"10","BambuTx106","ENST00000685332","ENSG00000075407","ENSG00000075407","ZNF37A","j","+",38094347,38115697,898,7,"non-coding",0.9999979,"multi-exonic","multiexon SJ match"
"X","BambuTx1060","ENST00000652605","BambuGene21832","ENSG00000094841",NA,"i","-",75171384,75178869,2010,2,"non-coding",0.99999917,"multi-exonic","intronic"
"X","BambuTx1062","ENST00000431677","ENSG00000196440","ENSG00000196440","ARMCX4","j","+",101418261,101447899,758,5,"non-coding",0.99999374,"multi-exonic","multiexon SJ match"
"X","BambuTx1064","ENST00000801439","ENSG00000287619","ENSG00000287619","ENSG00000287619","j","-",103585506,103587518,1038,2,"non-coding",0.9999943,"multi-exonic","multiexon SJ match"
"X","BambuTx1065","ENST00000372625","ENSG00000172465","ENSG00000172465","TCEAL1","j","+",103629687,103630953,1186,2,"non-coding",0.99999833,"multi-exonic","multiexon SJ match"
"X","BambuTx1066","ENST00000467290","ENSG00000269743","ENSG00000269743","SLC25A53","j","-",104130923,104157000,510,3,"non-coding",0.99980515,"multi-exonic","multiexon SJ match"
"X","BambuTx1067","-","BambuGene21460","-",NA,"u","+",104157037,104162987,341,2,"non-coding",0.9952638,"multi-exonic","intergenic"
"X","BambuTx1069","ENST00000695839","BambuGene21885","ENSG00000187823",NA,"i","-",112109347,112116462,869,2,"non-coding",0.9999959,"multi-exonic","intronic"
"X","BambuTx1070","ENST00000696534","BambuGene21907","ENSG00000077721",NA,"x","-",119571535,119574398,1033,2,"non-coding",0.999949,"multi-exonic","antisense"
"X","BambuTx1071","ENST00000370836","ENSG00000171004","ENSG00000171004","HS6ST2","j","-",132709923,132958422,1062,4,"non-coding",0.9372659,"multi-exonic","multiexon SJ match"
"X","BambuTx1072","ENST00000511190","BambuGene21526","ENSG00000134588",NA,"i","+",133045434,133047909,1354,2,"non-coding",0.9999968,"multi-exonic","intronic"
"X","BambuTx1073","ENST00000476971","ENSG00000170965","ENSG00000170965","PLAC1","j","-",134565838,134764332,1159,4,"non-coding",0.9999971,"multi-exonic","multiexon SJ match"
"X","BambuTx1074","ENST00000493333","ENSG00000156504","ENSG00000156504","PABIR2","j","-",134771634,134797209,1488,10,"non-coding",0.99999154,"multi-exonic","multiexon SJ match"
"X","BambuTx1079","ENST00000436198","BambuGene21534","ENSG00000129682",NA,"i","+",139194725,139195860,968,2,"non-coding",0.9999959,"multi-exonic","intronic"
"10","BambuTx108","ENST00000359467","ENSG00000196693","ENSG00000196693","ZNF33B","j","-",42593955,42638570,1213,6,"non-coding",0.9999077,"multi-exonic","multiexon SJ match"
"X","BambuTx1080","ENST00000434284","BambuGene21561","ENSG00000232725",NA,"i","+",153760243,153761219,750,2,"non-coding",0.99999124,"multi-exonic","intronic"
"X","BambuTx1081","ENST00000433825","ENSG00000231830","ENSG00000231830",NA,"i","-",154338849,154341564,772,2,"non-coding",0.9999635,"multi-exonic","intronic"
"X","BambuTx1082","ENST00000422373","BambuGene21573","ENSG00000196924",NA,"i","+",154354993,154357589,252,2,"non-coding",0.9458275,"multi-exonic","intronic"
"X","BambuTx1083","ENST00000492572","BambuGene21575","ENSG00000147403",NA,"i","+",154390583,154393302,775,2,"non-coding",0.9999635,"multi-exonic","intronic"
"GL000194.1","BambuTx1084","-","BambuGene22067","-",NA,"u","-",62630,115071,465,3,"non-coding",0.99997675,"multi-exonic","intergenic"
"KI270742.1","BambuTx1085","-","BambuGene22076","-",NA,"u","-",23843,109992,845,4,"non-coding",0.99996996,"multi-exonic","intergenic"
"GL000205.2","BambuTx1086","-","BambuGene22084","-",NA,"u","-",59726,63679,752,2,"non-coding",0.99999136,"multi-exonic","intergenic"
"GL000205.2","BambuTx1087","-","BambuGene22087","-",NA,"u","-",137756,140740,581,2,"non-coding",0.9993792,"multi-exonic","intergenic"
"GL000195.1","BambuTx1088","-","BambuGene22106","-",NA,"u","-",43714,86693,1551,3,"non-coding",0.999995,"multi-exonic","intergenic"
"GL000195.1","BambuTx1089","-","BambuGene22106","-",NA,"u","-",45947,86687,1360,4,"non-coding",0.99998295,"multi-exonic","intergenic"
"10","BambuTx109","ENST00000395810","ENSG00000198915","ENSG00000198915","RASGEF1A","j","-",43196090,43203860,1541,12,"non-coding",0.9987765,"multi-exonic","multiexon SJ match"
"GL000195.1","BambuTx1090","-","BambuGene22094","-",NA,"u","+",137961,140961,594,2,"non-coding",0.999616,"multi-exonic","intergenic"
"KI270733.1","BambuTx1091","-","BambuGene22120","-",NA,"u","+",113837,140657,1256,4,"non-coding",0.99995637,"multi-exonic","intergenic"
"GL000224.1","BambuTx1092","-","BambuGene22131","-",NA,"u","+",30530,33167,497,2,"non-coding",0.9992968,"multi-exonic","intergenic"
"GL000224.1","BambuTx1093","-","BambuGene22133","-",NA,"u","+",102504,119951,432,4,"non-coding",0.9998844,"multi-exonic","intergenic"
"GL000220.1","BambuTx1094","-","BambuGene22201","-",NA,"u","-",4557,7294,741,2,"non-coding",0.9999534,"multi-exonic","intergenic"
"GL000218.1","BambuTx1095","-","BambuGene22212","-",NA,"u","-",47823,97448,460,3,"non-coding",0.9999969,"multi-exonic","intergenic"
"GL000218.1","BambuTx1096","-","BambuGene22212","-",NA,"u","-",88575,97448,624,3,"non-coding",0.999975,"multi-exonic","intergenic"
"KI270721.1","BambuTx1097","-","BambuGene22272","-",NA,"u","+",2645,11795,673,5,"non-coding",0.9351339,"multi-exonic","intergenic"
"KI270713.1","BambuTx1098","-","BambuGene22306","-",NA,"u","+",13587,25189,770,3,"non-coding",0.9998904,"multi-exonic","intergenic"
"1","BambuTx11","ENST00000309048","ENSG00000175279","ENSG00000175279","CENPS","j","+",10430433,10442808,747,3,"non-coding",0.9999873,"multi-exonic","multiexon SJ match"
"10","BambuTx110","ENST00000490208","ENSG00000243660","ENSG00000243660","ZNF487","j","+",43436846,43454661,687,2,"non-coding",0.9999846,"multi-exonic","multiexon SJ match"
"1","BambuTx1100","ENST00000609129","ENSG00000273274","ENSG00000273274","ZBTB8B","j","+",32465067,32485879,997,3,"non-coding",0.99991435,"multi-exonic","multiexon SJ match"
"1","BambuTx1101","ENST00000489103","ENSG00000127124","ENSG00000127124","HIVEP3","j","-",42014785,42035909,357,2,"non-coding",0.999288,"multi-exonic","multiexon SJ match"
"1","BambuTx1102","ENST00000371532","BambuGene1465","ENSG00000203995",NA,"x","-",52893204,52894572,1092,2,"non-coding",0.9999966,"multi-exonic","antisense"
"1","BambuTx1103","-","ENSG00000307251","-",NA,"u","+",68386333,68388089,1695,2,"non-coding",0.99987566,"multi-exonic","intergenic"
"1","BambuTx1104","ENST00000413519","ENSG00000237413","ENSG00000237413","MGC27382","j","+",78359559,78368788,375,2,"non-coding",0.9999815,"multi-exonic","multiexon SJ match"
"1","BambuTx1105","-","BambuGene450","-",NA,"u","+",78689215,78728302,659,3,"non-coding",0.9997359,"multi-exonic","intergenic"
"1","BambuTx1106","ENST00000795269","BambuGene551","ENSG00000303525",NA,"i","+",113141156,113154019,516,3,"non-coding",0.99999815,"multi-exonic","intronic"
"1","BambuTx1107","ENST00000620370","BambuGene1615","ENSG00000274468",NA,"x","-",115478890,115497044,932,2,"non-coding",0.99996215,"multi-exonic","antisense"
"1","BambuTx1109","ENST00000368037","BambuGene1779","ENSG00000122224",NA,"x","-",160816131,160826309,970,2,"non-coding",0.9999895,"multi-exonic","antisense"
"10","BambuTx111","ENST00000361807","ENSG00000198298","ENSG00000198298","ZNF485","j","+",43606438,43611973,1131,5,"non-coding",0.99998903,"multi-exonic","multiexon SJ match"
"1","BambuTx1110","ENST00000368035","ENSG00000122224","ENSG00000122224","LY9","j","+",160826844,160828255,684,2,"non-coding",0.9999702,"multi-exonic","multiexon SJ match"
"1","BambuTx1111","ENST00000660512","ENSG00000287218","ENSG00000287218","ENSG00000287218","j","+",167455068,167458659,888,4,"non-coding",0.99986035,"multi-exonic","multiexon SJ match"
"1","BambuTx1112","ENST00000504648","BambuGene1933","ENSG00000117266",NA,"x","-",205502319,205504825,2126,2,"non-coding",0.999999,"multi-exonic","antisense"
"1","BambuTx1114","ENST00000366711","BambuGene2019","ENSG00000181873",NA,"x","-",228177484,228179178,1084,2,"non-coding",0.9997358,"multi-exonic","antisense"
"10","BambuTx1115","ENST00000736443","ENSG00000296101","ENSG00000296101","ENSG00000296101","j","+",52499553,52580049,812,2,"non-coding",0.99999076,"multi-exonic","multiexon SJ match"
"11","BambuTx1116","ENST00000413483","ENSG00000238184","ENSG00000238184","CD81-AS1","j","-",2345359,2378016,2869,2,"non-coding",0.9999906,"multi-exonic","multiexon SJ match"
"11","BambuTx1117","ENST00000395787","ENSG00000149089","ENSG00000149089","APIP","j","-",34882369,34916473,1098,6,"non-coding",0.9998979,"multi-exonic","multiexon SJ match"
"11","BambuTx1118","ENST00000562772","ENSG00000261070","ENSG00000261070","ENSG00000261070","j","-",69164393,69168408,1161,2,"non-coding",0.99954724,"multi-exonic","multiexon SJ match"
"11","BambuTx1119","ENST00000561588","BambuGene3755","ENSG00000260877",NA,"i","-",69345141,69353036,1088,2,"non-coding",0.9999905,"multi-exonic","intronic"
"10","BambuTx112","ENST00000435790","BambuGene2206","ENSG00000128805",NA,"i","+",48605180,48608868,671,3,"non-coding",0.99997354,"multi-exonic","intronic"
"11","BambuTx1120","ENST00000281030","ENSG00000151365","ENSG00000151365","THRSP","j","+",78022876,78068351,839,2,"non-coding",0.9999933,"multi-exonic","multiexon SJ match"
"11","BambuTx1121","ENST00000706777","BambuGene3879","ENSG00000152578",NA,"i","-",105942313,105961070,630,3,"non-coding",0.9999915,"multi-exonic","intronic"
"11","BambuTx1122","-","BambuGene3905","-",NA,"u","-",117984725,117986329,738,3,"non-coding",0.99998194,"multi-exonic","intergenic"
"11","BambuTx1123","ENST00000260197","BambuGene3936","ENSG00000137642",NA,"i","-",121464308,121465787,973,2,"non-coding",0.9984232,"multi-exonic","intronic"
"12","BambuTx1124","ENST00000832972","ENSG00000308279","ENSG00000308279","ENSG00000308279","j","+",4027737,4048690,1331,3,"non-coding",0.9999975,"multi-exonic","multiexon SJ match"
"12","BambuTx1125","ENST00000480903","BambuGene4569","ENSG00000227525",NA,"x","-",19076255,19096102,448,2,"non-coding",0.99989814,"multi-exonic","antisense"
"12","BambuTx1127","ENST00000811932","ENSG00000305608","ENSG00000305608","ENSG00000305608","j","-",53251440,53252979,544,2,"non-coding",0.9999592,"multi-exonic","multiexon SJ match"
"12","BambuTx1128","ENST00000546378","ENSG00000123388","ENSG00000123388","HOXC11","j","+",53974385,53976419,1378,2,"non-coding",0.9999972,"multi-exonic","multiexon SJ match"
"12","BambuTx1129","ENST00000716253","ENSG00000251138","ENSG00000251138","LINC02882","j","-",74506557,74509543,2513,2,"non-coding",0.99999714,"multi-exonic","multiexon SJ match"
"10","BambuTx113","ENST00000357917","ENSG00000072422","ENSG00000072422","RHOBTB1","j","-",60966981,61001464,720,3,"non-coding",0.9999929,"multi-exonic","multiexon SJ match"
"13","BambuTx1131","ENST00000737418","ENSG00000296218","ENSG00000296218","ENSG00000296218","j","+",18279299,18286483,838,3,"non-coding",0.99998784,"multi-exonic","multiexon SJ match"
"13","BambuTx1132","ENST00000382353","ENSG00000102678","ENSG00000102678","FGF9","j","+",21674160,21702382,1446,3,"non-coding",0.9999971,"multi-exonic","multiexon SJ match"
"13","BambuTx1133","ENST00000475385","BambuGene5086","ENSG00000139508",NA,"x","+",28693842,28707616,1478,3,"non-coding",0.99999774,"multi-exonic","antisense"
"13","BambuTx1134","ENST00000800271","ENSG00000286286","ENSG00000286286","ENSG00000286286","j","-",31037049,31039357,902,3,"non-coding",0.99995255,"multi-exonic","multiexon SJ match"
"13","BambuTx1135","-","BambuGene5096","-",NA,"u","+",34045060,34059629,480,2,"non-coding",0.9999815,"multi-exonic","intergenic"
"13","BambuTx1136","ENST00000664114","BambuGene5099","ENSG00000225179",NA,"x","+",34485853,34564376,889,2,"non-coding",0.99997544,"multi-exonic","antisense"
"13","BambuTx1137","ENST00000791159","ENSG00000303018","ENSG00000303018","ENSG00000303018","j","+",64078781,64180606,627,3,"non-coding",0.999992,"multi-exonic","multiexon SJ match"
"13","BambuTx1138","ENST00000703210","BambuGene5159","ENSG00000088387",NA,"i","+",98992642,98993824,760,2,"non-coding",0.9999278,"multi-exonic","intronic"
"13","BambuTx1139","ENST00000356711","BambuGene5270","ENSG00000041515",NA,"i","-",109146886,109159807,879,5,"non-coding",0.9999757,"multi-exonic","intronic"
"10","BambuTx114","ENST00000307864","ENSG00000042286","ENSG00000042286","AIFM2","j","-",70113980,70146669,1470,9,"non-coding",0.6376348,"multi-exonic","multiexon SJ match"
"13","BambuTx1140","ENST00000488558","ENSG00000139842","ENSG00000139842","CUL4A","j","+",113209604,113225871,740,4,"non-coding",0.9980585,"multi-exonic","multiexon SJ match"
"14","BambuTx1142","ENST00000546376","ENSG00000257826","ENSG00000257826","ENSG00000257826","j","-",36060551,36067712,1338,2,"non-coding",0.99999505,"multi-exonic","multiexon SJ match"
"14","BambuTx1143","ENST00000838945","ENSG00000309132","ENSG00000309132","ENSG00000309132","j","-",93983081,93987949,1100,3,"non-coding",0.9999403,"multi-exonic","multiexon SJ match"
"14","BambuTx1144","ENST00000216281","BambuGene5575","ENSG00000080824",NA,"x","+",102083137,102085336,1012,2,"non-coding",0.9999935,"multi-exonic","antisense"
"14","BambuTx1145","ENST00000742321","BambuGene5942","ENSG00000278071",NA,"x","-",103224403,103232497,1216,2,"non-coding",0.9999716,"multi-exonic","antisense"
"14","BambuTx1146","-","ENSG00000224650","-",NA,"u","-",106839009,106844777,471,2,"non-coding",0.9999476,"multi-exonic","intergenic"
