TXNAME	GENEID	R1_H1975.bam	R2_H1975.bam	R3_H1975.bam	R1_HCC827.bam	R2_HCC827.bam	R3_HCC827.bam
BambuTx64	ENSG00000158769	60	58	35	38	16	26
BambuTx66	ENSG00000000460	12	10	8	28	10	32
BambuTx67	ENSG00000117533	45	21	28	13	11	8
BambuTx68	ENSG00000197959	29	47	40	31	15	43
BambuTx69	ENSG00000180999	1	3	2	10	0	12
BambuTx70	BambuGene1831	390	457	412	31	14	39
BambuTx71	ENSG00000273384	12	11	14	2	0	7
BambuTx72	BambuGene1836	9	5	4	24	10	14
BambuTx73	ENSG00000186283	17	25	20	5	9	21
BambuTx74	ENSG00000287929	7	4	2	19	35	23
BambuTx75	BambuGene1884	8	9	10	2	2	1
BambuTx76	ENSG00000118193	16	15	9	6	0	5
BambuTx77	BambuGene809	6	7	6	1	0	3
BambuTx78	ENSG00000299041	10	6	11	7	6	3
BambuTx79	BambuGene1930	6	3	3	6	4	2
BambuTx80	ENSG00000186007	154	119	153	184	105	151
BambuTx81	ENSG00000186007	83	91	76	81	43	67
BambuTx83	ENSG00000123684	26	14	9	1	0	1
BambuTx84	ENSG00000185523	2	1	6	1	6	4
BambuTx87	ENSG00000162814	26	11	18	7	7	4
BambuTx88	ENSG00000228437	197	172	142	303	134	208
BambuTx89	ENSG00000236846	7	22	5	1	0	1
BambuTx90	ENSG00000181450	7	12	9	2	0	1
BambuTx91	ENSG00000116574	1	5	2	0	0	0
BambuTx92	ENSG00000236358	2	5	6	0	1	1
BambuTx93	ENSG00000285053	12	16	12	4	0	1
BambuTx94	ENSG00000143669	168	121	101	3	2	3
BambuTx95	ENSG00000302457	34	30	28	8	9	10
BambuTx97	BambuGene986	4	0	1	1	0	0
BambuTx98	BambuGene1007	10	20	15	5	0	0
BambuTx99	ENSG00000303579	6	3	6	0	0	0
BambuTx100	ENSG00000272853	8	19	8	2	1	0
BambuTx102	ENSG00000274985	145	145	102	0	0	0
BambuTx103	BambuGene2510	9	7	4	3	5	1
BambuTx104	BambuGene2188	2	9	2	25	16	10
BambuTx105	ENSG00000095794	19	24	12	9	3	4
BambuTx106	ENSG00000075407	13	15	8	14	10	19
BambuTx108	ENSG00000196693	41	38	40	30	15	21
BambuTx109	ENSG00000198915	42	44	42	0	0	0
BambuTx110	ENSG00000243660	14	10	10	18	4	5
BambuTx111	ENSG00000198298	5	0	3	7	4	5
BambuTx112	BambuGene2206	8	8	3	1	0	0
BambuTx113	ENSG00000072422	35	41	43	4	3	0
BambuTx114	ENSG00000042286	33	36	31	2	3	12
BambuTx115	ENSG00000156521	25	30	39	8	6	4
BambuTx116	ENSG00000166295	617	585	626	1075	655	947
BambuTx117	ENSG00000166295	502	435	463	143	90	134
BambuTx118	BambuGene2629	485	336	501	1	0	8
BambuTx119	ENSG00000148719	165	177	162	291	178	318
BambuTx120	ENSG00000156671	15	16	21	5	0	2
BambuTx121	ENSG00000173269	6	1	7	0	1	0
BambuTx122	ENSG00000235100	6	6	8	2	1	8
BambuTx123	ENSG00000176273	14	9	21	1	0	6
BambuTx124	ENSG00000119943	14	4	5	13	3	4
BambuTx126	ENSG00000298413	111	85	124	37	17	23
BambuTx127	ENSG00000148842	6	7	6	3	8	3
BambuTx129	ENSG00000197748	3	6	9	1	0	5
BambuTx131	BambuGene2796	2	6	2	0	0	0
BambuTx132	ENSG00000107679	24	23	15	18	8	19
BambuTx133	ENSG00000179988	227	197	183	91	33	57
BambuTx134	ENSG00000307215	5	3	3	1	0	1
BambuTx135	ENSG00000305416	0	6	3	13	7	13
BambuTx136	ENSG00000180745	1	6	4	0	4	2
BambuTx137	ENSG00000305641	75	65	72	0	0	0
BambuTx138	ENSG00000165752	111	99	77	92	72	55
BambuTx141	BambuGene2841	0	1	5	0	0	0
BambuTx142	ENSG00000166407	53	37	34	0	0	0
BambuTx143	ENSG00000247595	360	262	300	135	102	95
BambuTx144	ENSG00000307501	0	3	4	1	0	1
BambuTx145	ENSG00000179431	39	34	23	34	27	14
BambuTx146	BambuGene2917	2	3	5	0	0	0
BambuTx147	BambuGene2922	109	88	98	1	0	0
BambuTx148	BambuGene2922	32	21	22	0	0	0
BambuTx151	ENSG00000124915	1	0	1	21	6	14
BambuTx152	BambuGene3008	15	11	13	25	14	14
BambuTx153	BambuGene3599	38	31	49	114	156	55
BambuTx155	ENSG00000254452	41	20	20	55	13	50
BambuTx156	ENSG00000172613	385	307	362	93	42	82
BambuTx157	ENSG00000256514	65	75	61	13	9	17
BambuTx158	ENSG00000290995	11	33	26	15	3	7
BambuTx159	BambuGene3715	4	6	7	0	1	0
BambuTx160	BambuGene3715	0	0	5	0	0	0
BambuTx161	ENSG00000110066	9	17	7	2	3	5
BambuTx162	ENSG00000171067	200	223	177	35	21	37
BambuTx165	BambuGene3759	21	14	17	0	0	0
BambuTx166	ENSG00000172890	146	118	112	35	25	26
BambuTx168	ENSG00000174804	15	10	15	2	3	2
BambuTx169	ENSG00000166575	44	27	30	33	1	35
BambuTx170	BambuGene3851	88	88	72	43	25	21
BambuTx171	BambuGene3851	44	38	12.23565	1.99138	3	6
BambuTx172	ENSG00000137691	46	43	41	16	20	19
BambuTx174	ENSG00000048028	3	1	4	5	0	2
BambuTx175	ENSG00000110375	15	32	12	20	5	18
BambuTx176	ENSG00000181264	102	89	94	110	81	81
BambuTx177	BambuGene3938	2	7	4	0	0	0
BambuTx178	ENSG00000255045	16	7	17	0	0	2
BambuTx179	ENSG00000134955	9	12	15	14	7	11
BambuTx181	ENSG00000297941	18	14	20	0	2	2
BambuTx182	ENSG00000198331	44	24	43	44	35	42
BambuTx183	ENSG00000151715	42	37	25	136	78	168
BambuTx184	ENSG00000302681	6	2	6	0	0	0
BambuTx185	ENSG00000171823	4	2	4	8	6	9
BambuTx187	ENSG00000126746	5	4	11	23	10	38
BambuTx189	ENSG00000275778	26	34	30	13	10	12
BambuTx190	ENSG00000255837	104	109	117	85	23	50
BambuTx192	BambuGene4582	6	10	8	28	10	17
BambuTx193	ENSG00000121350	19	20	23	15	3	13
BambuTx194	ENSG00000111711	14.22162	12.91391	8.49354	11	0	7.28133
BambuTx195	ENSG00000111711	28.11766	19.27639	25.49677	0	12	12.53776
BambuTx196	ENSG00000087494	247	319	374	150	63	162
BambuTx197	ENSG00000139146	35	35	49	41	30	30
BambuTx198	ENSG00000256843	489	435	470	49	33	42
BambuTx199	BambuGene4631	43	25	31	0	0	0
BambuTx200	ENSG00000257496	7	8	2	0	0	0
BambuTx201	ENSG00000309040	9	13	10	10	2	13
BambuTx202	BambuGene4110	4	6	3	0	0	0
BambuTx204	ENSG00000257913	6	8	8	15	4	4
BambuTx205	BambuGene4686	20	6	18	0	0	0
BambuTx206	BambuGene4193	2	3	2	5	0	10
BambuTx207	ENSG00000180818	14	15	9	53	26	40
BambuTx208	ENSG00000197757	4	8	8	4	1	1
BambuTx209	ENSG00000037965	18	29	25	5	5	2
BambuTx210	BambuGene4720	3	4	8	0	0	0
BambuTx211	ENSG00000025423	80	63	79	0	0	0
BambuTx213	BambuGene4259	2	2	5	6	7	6
BambuTx214	ENSG00000296964	2	4	3	7	12	1
BambuTx215	BambuGene4797	28	21	32	0	0	0
BambuTx216	ENSG00000307941	5	1	6	0	0	0
BambuTx218	BambuGene4290	3	7	12	16	3	8
BambuTx219	BambuGene4292	33	17	27	0	0	0
BambuTx220	ENSG00000252827	30	11	17	0	0	0
BambuTx221	BambuGene4324	5	2	2	22	17	18
BambuTx222	ENSG00000301737	4	3	12	0	2	1
BambuTx226	ENSG00000135116	32	38	28	0	0	0
BambuTx227	ENSG00000256811	26	24	29	17	10	19
BambuTx228	ENSG00000256811	6	14	26	5	4	4
BambuTx229	ENSG00000158023	1065	1005	1039	1313	825	1052
BambuTx230	ENSG00000158023	906	818	772	1149	867	991
BambuTx231	ENSG00000289831	3	5	7	2	0	1
BambuTx232	ENSG00000303311	14	8	8	10	1	3
BambuTx233	BambuGene4477	52	0	72	194	368	77
BambuTx234	BambuGene4477	578	524	474	691	1281	550
BambuTx235	ENSG00000256151	168	147	108	30	12	25
BambuTx236	ENSG00000256151	24	37	51	7	4	3
BambuTx238	ENSG00000214029	20	17	13	1	0	1
BambuTx241	ENSG00000090612	16	20	13	17	6	16
BambuTx243	ENSG00000294408	0	3	4	3	5	3
BambuTx244	ENSG00000139514	22	30	27	4	0	0
BambuTx245	ENSG00000304203	5	7	4	5	5	3
BambuTx246	ENSG00000223685	12	4	12	0	0	1
BambuTx247	ENSG00000136143	58	36	40	21	14	6
BambuTx248	ENSG00000102547	25	20	23	18	4	8
BambuTx250	ENSG00000223392	46	43	48	50	25	36
BambuTx252	ENSG00000174405	6	8	3	1	1	3
BambuTx253	ENSG00000174405	3	3	11	9	1	6
BambuTx255	ENSG00000289010	0	1	2	0	1	2
BambuTx256	ENSG00000290808	1	7	5	0	0	0
BambuTx257	ENSG00000153495	19	15	23	0	0	0
BambuTx258	ENSG00000153495	11	16	6	0	0	0
BambuTx259	ENSG00000198176	12	13	12	9	1	6
BambuTx260	BambuGene5322	0	3	2	0	0	6
BambuTx261	ENSG00000129472	0	9	4	0	0	0
BambuTx262	ENSG00000278784	10	9	13	5	0	5
BambuTx263	ENSG00000278784	9	6	7	18	12	18
BambuTx264	ENSG00000157379	67	66	51	0	3	0
BambuTx265	ENSG00000205978	1	0	4	9	7	9
BambuTx266	ENSG00000203546	65	77	72	51	19	39
BambuTx267	ENSG00000258580	43	39	46	69	36	36
BambuTx268	ENSG00000151320	0	0	5	0	0	4
BambuTx269	ENSG00000257585	3	2	4	27	10	25
BambuTx270	ENSG00000283098	29	27	21	12	4	6
BambuTx271	ENSG00000257520	0.75829	2	0.82049	0	2.85812	2
BambuTx272	ENSG00000257520	1.90249	3.59698	0.89697	7	0.49134	0.16056
BambuTx273	BambuGene5393	135	88	107	65	53	62
BambuTx274	BambuGene5713	27	29	34	47	30	30
BambuTx275	ENSG00000260046	11	17	9	4	8	7
BambuTx276	ENSG00000125375	49	55	61	39	42	23
BambuTx277	ENSG00000258857	13	16	19	15	9	13
BambuTx278	ENSG00000012983	3	1	4	2	4	6
BambuTx279	BambuGene5429	0	0	4	3	0	3
BambuTx280	ENSG00000100532	26	40	26	8	6	7
BambuTx281	BambuGene5760	31	39	36	0	3	0
BambuTx283	ENSG00000126778	11	12	15	19	5	8
BambuTx285	ENSG00000247287	5	7	7	9	4	19
BambuTx286	BambuGene5775	6	1	3	0	0	0
BambuTx287	ENSG00000089775	85	82	56	25	17	14
BambuTx288	ENSG00000165807	1	6	10	2	1	3
BambuTx289	BambuGene5468	16	8	23	3	3	2
BambuTx290	BambuGene5468	6.7728	5	4	4	0	0
BambuTx291	ENSG00000259033	81	60	59	0	0	0
BambuTx292	ENSG00000140043	16	33	11	1	0	3
BambuTx293	ENSG00000140043	29	30	37	7	6	4
BambuTx294	BambuGene5842	9	11	9	1	0	0
BambuTx295	ENSG00000284959	11	5	9	11	4	7
BambuTx296	ENSG00000273783	12	7	6	0	0	0
BambuTx297	ENSG00000308283	3	2	3	14	8	9
BambuTx298	ENSG00000187581	35	14	22	25	11	15
BambuTx299	BambuGene5573	17	24	25	1	2	0
BambuTx300	ENSG00000302673	16	15	12	2	0	0
BambuTx301	ENSG00000140153	72	74	94	22	10	18
BambuTx302	BambuGene5620	95	72	71	47	32	34
BambuTx303	ENSG00000185567	208	223	186	212	123	118
BambuTx304	ENSG00000213145	18	17	17	16	9	9
BambuTx305	ENSG00000166206	7	10	18	13	0	6
BambuTx306	ENSG00000128891	37	26	41	19	13	22
BambuTx307	ENSG00000159433	12	4	5	1	0	2
BambuTx309	ENSG00000104177	0	0	6	5	0	0
BambuTx312	ENSG00000259353	16	16	22	0	0	0
BambuTx313	ENSG00000166803	167	126	140	108	68	77
BambuTx315	ENSG00000138617	50	41	60	0	0	0
BambuTx317	ENSG00000138604	32	36	23	59	16	40
BambuTx319	ENSG00000117971	51	46	52	1	0	1
BambuTx321	ENSG00000185442	15	9	15	0	0	0
BambuTx322	ENSG00000189419	25	18	23	1	0	2
BambuTx323	ENSG00000180185	14	27	10	13	0	5
BambuTx324	ENSG00000183971	54	62	52	18	13	25
BambuTx325	ENSG00000259933	23	32	28	6	2	8
BambuTx326	ENSG00000140993	42	36	33	0	0	4
BambuTx327	ENSG00000285329	14	16	16	42	10	31
BambuTx328	BambuGene7164	27	14	23	10	5	7
BambuTx329	ENSG00000118894	34	25	36	48	31	67
BambuTx330	BambuGene6647	0	1	4	0	0	0
BambuTx331	ENSG00000302150	31	39	30	5	0	3
BambuTx334	ENSG00000309043	15	12	28	1	1	3
BambuTx335	ENSG00000275807	16	18	14	16	7	11
BambuTx336	ENSG00000179965	14	18	18	21	16	14
BambuTx338	ENSG00000175938	118	143	129	15	15	13
BambuTx342	ENSG00000103021	25	23	21	42	9	22
BambuTx344	BambuGene7478	3.76202	9	4	6	0	7
BambuTx345	ENSG00000168676	3	1	7	0	0	0
BambuTx346	ENSG00000103044	20	24	25	4	0	3
BambuTx347	ENSG00000258429	46	66	42	32	22	28
BambuTx348	ENSG00000166822	57	55	35	16	9	8
BambuTx350	ENSG00000166455	20	11	10	13	2	5
BambuTx351	BambuGene6997	5	8	5	10	3	6
BambuTx352	ENSG00000140950	44	32	31	25	21	33
BambuTx353	BambuGene7634	19	24	20	0	0	0
BambuTx355	ENSG00000187624	127	193	160	0	0	0
BambuTx356	ENSG00000070366	41	17	32	13	7	22
BambuTx357	BambuGene7821	4	7	7	0	0	0
BambuTx359	ENSG00000262165	57	43	37	42	36	47
BambuTx360	ENSG00000291084	2	14	19	0	0	0
BambuTx362	BambuGene8639	6	4	4	0	0	0
BambuTx363	ENSG00000179859	16	19	9	1	0	3
BambuTx364	ENSG00000125434	7	7	11	36	16	47
BambuTx365	ENSG00000125434	13	5	7	31	9	18
BambuTx366	BambuGene7936	24	21	16	0	0	0
BambuTx367	ENSG00000265349	12	7	6	14	5	7
BambuTx368	ENSG00000154957	3	4	2	1	5	1
BambuTx369	BambuGene8684	16	12	13	0	0	1
BambuTx370	ENSG00000255104	5	3	1	8	3	1
BambuTx371	ENSG00000170160	149	122	120	0	0	0
BambuTx372	ENSG00000299412	24	11	13	24	8	18
BambuTx373	ENSG00000306320	6	6	5	1	1	4
BambuTx374	ENSG00000281856	15	22	15	19	7	23
BambuTx375	ENSG00000281856	18	16	37	58	43	40
BambuTx376	BambuGene8805	3	4	2	2	0	0
BambuTx377	ENSG00000167525	15	7	7	14	5	10
BambuTx379	BambuGene8828	2	2	5	0	0	0
BambuTx380	ENSG00000178691	18	40	24	7	3	16
BambuTx381	ENSG00000277258	101	108	87	202	146	227
BambuTx385	ENSG00000266088	30	36	21	9	1	8
BambuTx386	ENSG00000108759	14	4	14	2	1	1
BambuTx387	ENSG00000171346	174	171	184	210	98	206
BambuTx389	ENSG00000289579	12	5	7	0	0	0
BambuTx390	BambuGene8947	66	53	43	67	42	67
BambuTx392	BambuGene8988	0	0	4	0	0	0
BambuTx393	ENSG00000108861	179	228	217	314	139	213
BambuTx394	ENSG00000161653	6	6	6	32	19	40
BambuTx395	BambuGene9055	7	11	2	10	5	3
BambuTx396	ENSG00000214226	17	23	15	9	4	7
BambuTx397	BambuGene9099	22	12	33	5	8	9
BambuTx400	ENSG00000266117	190	166	164	0	0	0
BambuTx401	ENSG00000291214	118	156	106	65	28	34
BambuTx402	BambuGene9146	8	1	3	0	0	0
BambuTx404	ENSG00000228639	18	16	19	0	0	0
BambuTx405	ENSG00000133195	343	333	313	369	206	285
BambuTx406	ENSG00000279035	10	5	10	4	10	5
BambuTx407	BambuGene8417	44	49	40	0	0	0
BambuTx410	ENSG00000263069	3	5	2	4	0	3
BambuTx412	BambuGene8510	9	7	2	0	0	0
BambuTx413	BambuGene9435	23	19	16	0	0	0
BambuTx414	ENSG00000305251	5	8	2	4	2	0
BambuTx415	ENSG00000101745	66	63	79	25	22	32
BambuTx416	ENSG00000272799	5	0	2	6	10	5
BambuTx417	ENSG00000101752	11	12	9	17	4	5
BambuTx418	ENSG00000101752	16	8	2	2	0	2
BambuTx419	ENSG00000075643	27	25	10	17	6	12
BambuTx420	ENSG00000150477	4	7	4	13	19	15
BambuTx421	ENSG00000152223	87	67	65	34	20	8
BambuTx422	BambuGene9373	3	6	8	0	0	2
BambuTx423	ENSG00000287673	71	98	98	0	0	0
BambuTx424	ENSG00000287673	86	100	92	0	0	0
BambuTx425	ENSG00000267764	40	42	31	0	0	0
BambuTx426	BambuGene9520	30	24	29	0	0	0
BambuTx427	BambuGene9402	12	11	22	0	0	0
BambuTx428	ENSG00000276092	3	0	3	2	0	0
BambuTx429	ENSG00000266278	10	8	4	4	0	2
BambuTx430	ENSG00000266278	22	33	31	5.85619	3	2
BambuTx431	BambuGene9546	4	2	3	0	0	0
BambuTx432	BambuGene9407	8	4	4	0	0	0
BambuTx433	ENSG00000166347	873	909	790	1579	751	1347
BambuTx434	ENSG00000266933	12	8	20	0	0	0
BambuTx436	ENSG00000267092	4	6	5	12	0	7
BambuTx437	ENSG00000307697	53	42	35	0	0	0
BambuTx438	ENSG00000307697	86	71	50	0	0	0
BambuTx439	BambuGene9670	74	110	109	198	444	148
BambuTx440	ENSG00000105251	112	116	110	19	25	11
BambuTx441	BambuGene9690	19	9	19	20	2	6
BambuTx443	BambuGene9781	296	326	304	1	1	1
BambuTx445	BambuGene10866	11	9	8	9	17	16
BambuTx447	ENSG00000198551	25	19	11	13	17	11
BambuTx448	ENSG00000286132	48	53	50	2	4	6
BambuTx450	BambuGene9891	4	4	5	0	2	1
BambuTx451	BambuGene10920	0	3	6	0	0	0
BambuTx452	BambuGene10977	12	6	8	2	0	2
BambuTx453	BambuGene10977	1	1	2	1	1	6
BambuTx454	ENSG00000141977	24	23	24	0	0	0
BambuTx455	ENSG00000130312	251	234	227	908	672	730
BambuTx457	ENSG00000248099	138	110	143	14	9	17
BambuTx458	BambuGene11067	0	1	3	0	0	0
BambuTx459	ENSG00000258674	8	13	1	1	0	2
BambuTx460	ENSG00000256771	65	56	54	20	13	21
BambuTx463	ENSG00000267383	15	28	18	0	0	0
BambuTx464	ENSG00000237440	38	27	29	34	12	17
BambuTx469	ENSG00000182141	33	29	28	6	4	2
BambuTx470	ENSG00000197013	160	138	130	56	33	52
BambuTx471	ENSG00000197372	32	25	30	0	6	2
BambuTx472	ENSG00000196172	2	0	5	24	4	7
BambuTx473	ENSG00000196172	90	74	60	3	2	3
BambuTx474	ENSG00000196172	46.95702	80	72	0.74059	3	2.82439
BambuTx476	ENSG00000126246	28	32	27	43	39	43
BambuTx477	ENSG00000267053	50	42	40	0	0	0
BambuTx478	ENSG00000171827	4	10	6	2	0	4
BambuTx479	ENSG00000267422	4	6	3	0	0	0
BambuTx480	BambuGene10129	3	9	5	3	13	9
BambuTx481	BambuGene11238	44	27	30	0	0	0
BambuTx484	ENSG00000308388	91	76	86	0	1	0
BambuTx485	BambuGene11273	6	8	5	1	0	0
BambuTx486	ENSG00000293116	12	18	20	0	0	2
BambuTx487	ENSG00000267058	5	4	6	0	0	0
BambuTx489	ENSG00000178150	828	640	645	0	3	1
BambuTx491	BambuGene10358	0	1	5	0	0	1
BambuTx493	ENSG00000261341	24	19	26	32	24	29
BambuTx494	ENSG00000286236	3	8	7	0	0	0
BambuTx495	ENSG00000161551	145	158	151	11	2	7
BambuTx496	ENSG00000256683	36	34.5	39.5	3	0.92339	0
BambuTx498	ENSG00000204611	6	7	3	4	3	11
BambuTx499	ENSG00000198482	51	38	37	0	0	2
BambuTx501	ENSG00000198538	1	0	5	25	17	21
BambuTx502	ENSG00000204604	216	198	224	70	43	72
BambuTx503	ENSG00000170954	27	40	22	3	2	5
BambuTx504	ENSG00000269001	32	41	29	8	0	0
BambuTx505	ENSG00000167618	22	17	26	0	0	1
BambuTx506	ENSG00000267577	467	435	480	11	14	8
BambuTx507	BambuGene10534	91	91	88	0	0	0
BambuTx508	ENSG00000298539	7	11	5	0	0	2
BambuTx509	ENSG00000298539	13	11	12	0	9	1
BambuTx510	BambuGene11565	25	18	8	5	2	13
BambuTx511	ENSG00000267454	142	193	207	28	11	25
BambuTx512	ENSG00000198440	12	10	8	0	0	0
BambuTx513	ENSG00000186230	129	112	154	211	148	160
BambuTx515	ENSG00000176593	22	20	17	14	4	6
BambuTx516	ENSG00000288830	27	21	23	0	0	0
BambuTx517	ENSG00000268895	88	63	62	22	8	12
BambuTx518	BambuGene12245	11	10	13	2	0	1
BambuTx519	BambuGene11644	29	20	20	0	1	2
BambuTx520	ENSG00000242282	39	18	23	8	0	8
BambuTx522	BambuGene12264	21	16	18	8	11	24
BambuTx523	ENSG00000119185	176	217	182	140	115	147
BambuTx524	ENSG00000183891	206	224	214	81	85	87
BambuTx525	BambuGene11692	4	3	2	2	0	0
BambuTx526	ENSG00000295291	14	21	23	0	0	0
BambuTx529	BambuGene12380	8	3	3	0	0	0
BambuTx530	ENSG00000003509	28	41	18	9	6	8
BambuTx532	ENSG00000299127	326	272	311	121	94	124
BambuTx533	ENSG00000171132	10	10	6	10	9	13
BambuTx534	ENSG00000233845	6	6	7	6	6	4
BambuTx535	ENSG00000301821	9	2	8	0	0	0
BambuTx537	ENSG00000309808	44	41	33	2	0	0
BambuTx538	ENSG00000170634	3	2	4	1	2	0
BambuTx539	BambuGene12447	3	1	3	1	2	0
BambuTx540	BambuGene11788	16	12	16	0	0	0
BambuTx543	BambuGene12469	32	22	21	0	0	0
BambuTx544	BambuGene12473	22	22	25	1	0	1
BambuTx546	BambuGene11808	2	0	2	0	0	0
BambuTx547	ENSG00000114956	733	599	652	460	307	374
BambuTx548	ENSG00000274049	5	5	3	12	8	9
BambuTx549	ENSG00000309281	2	8	5	16	6	16
BambuTx551	BambuGene11829	13	14	15	15	8	12
BambuTx552	ENSG00000115548	16	16	7	18	10	12
BambuTx553	ENSG00000249884	42	46	46	0	0	0
BambuTx554	ENSG00000168754	27	22	25	44	35	84
BambuTx555	ENSG00000185414	108	119	122	37	22	36
BambuTx557	ENSG00000144061	218	142	162	66	34	37
BambuTx558	ENSG00000175772	38	25	20	36	17	27
BambuTx559	ENSG00000240350	38	41	30	6	2	1
BambuTx561	ENSG00000136689	26	29	34	56	18	40
BambuTx562	ENSG00000304983	109	111	101	22	0	10
BambuTx563	ENSG00000144120	124	83	115	54	27	45
BambuTx565	BambuGene11977	15	14	20	2	8	8
BambuTx566	ENSG00000224043	32	26	22	20	13	11
BambuTx567	ENSG00000271320	1	8	8	4	1	6
BambuTx568	ENSG00000136536	34	32	25	21	7	18
BambuTx569	ENSG00000303120	3	1	4	8	1	1
BambuTx570	ENSG00000285373	69	65	52	226	151	154
BambuTx571	ENSG00000230918	6	0	1	1	0	0
BambuTx572	ENSG00000309217	6	1	5	0	0	0
BambuTx573	BambuGene12040	3	4	3	11	1	7
BambuTx574	ENSG00000154479	19	16	18	11	10	12
BambuTx576	BambuGene12062	0	0	3	0	0	0
BambuTx577	ENSG00000170166	24	19	20	0	0	0
BambuTx578	BambuGene12069	0	1	4	0	0	0
BambuTx579	ENSG00000150722	28	18	12	8	4	19
BambuTx580	ENSG00000222017	3	8	5	17	14	29
BambuTx582	ENSG00000138443	32	38	22	38	22	45
BambuTx583	ENSG00000286836	2	5	4	9	6	8
BambuTx584	ENSG00000287498	12	21	9	1	2	2
BambuTx585	BambuGene12816	1	1	2	6	0	7
BambuTx586	ENSG00000235070	17	13	10	0	0	0
BambuTx587	ENSG00000304396	15	4	4	7	3	2
BambuTx591	BambuGene12187	12	15	10	0	0	0
BambuTx592	ENSG00000124831	34	48	37	48	21	37
BambuTx593	ENSG00000146205	17	6	5	5	0	4
BambuTx594	ENSG00000146205	19	15.72179	9	2.96649	4	2.99861
BambuTx597	BambuGene12907	11	6	3	4	2	2
BambuTx598	BambuGene12935	13	5	11	1	1	2
BambuTx599	ENSG00000296607	31	14	18	3	0	0
BambuTx601	ENSG00000259974	6	11	11	1	0	2
BambuTx602	ENSG00000078699	17	12	14	10	12	16
BambuTx603	ENSG00000250917	3	5	4	5	8	1
BambuTx604	ENSG00000126005	132	94	90	4	3	4
BambuTx605	ENSG00000126005	98	86	72	3	6	4
BambuTx606	ENSG00000101019	72	51	38	20	6	14
BambuTx607	ENSG00000149646	13	12	15	26	12	24
BambuTx608	ENSG00000259399	10	2	7	8	2	4
BambuTx609	ENSG00000101363	574	709	619	426	188	405
BambuTx610	BambuGene13567	0	0	7	7	4	0
BambuTx611	ENSG00000124249	7	12	17	0	0	0
BambuTx612	ENSG00000124116	273.57252	197.27688	234.99574	0	175.55697	149.82655
BambuTx613	ENSG00000124116	380.93216	311.66371	380.89561	571	236.78645	271.57706
BambuTx614	ENSG00000198185	0	4	2	0	0	0
